Id,MSZoning,LotFrontage,LotShape,Neighborhood,OverallQual,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,SaleType,SaleCondition,SalePrice
377,191876.81635220125,-0.5611189790123954,1,0.2639995720292841,5,0.842111991362411,0.5346209551352383,214791.4425770308,214491.08238636365,-0.5706671562811166,3,226904.63863636364,3,2,5,-0.30141391917996513,-0.4035953511362529,4,1,186204.07212055975,-0.6289237708426086,-0.7978280928003665,-1.1225392319023217,1,2,5,0,132287.65,0.8248278417828433,0,2,0.5189314470150379,2,-0.7494211602795274,-0.6855472711500663,172344.77349943374,174460.82155688622,11.904967552746252
251,191876.81635220125,-0.6536653514082104,1,-0.9088947845801948,3,-0.9866018576094607,-0.9146698038785985,151492.33974358975,169304.3125,-0.5706671562811166,2,149126.90293453724,2,0,0,-0.9322242898414651,-0.7146389277524923,4,1,186204.07212055975,0.35329980752513074,-0.7978280928003665,-0.3949409041022759,1,1,6,0,194638.7776096823,0.04607999174446908,0,0,-2.190236973649007,2,1.2849566207323704,-0.6855472711500663,172344.77349943374,174460.82155688622,11.245046019814627
229,191876.81635220125,0.040432441560402745,0,-0.7323663911449856,5,-0.10490053756945117,-0.8663601119114707,158342.96,163130.8085106383,-0.5706671562811166,2,149126.90293453724,2,0,4,0.8501325292759274,-0.31159654678497084,2,1,186204.07212055975,-0.6339351156301991,-0.7978280928003665,-1.1262514682686484,1,2,5,1,132287.65,-0.1588536530024715,0,1,-0.6098887282616473,2,-0.7494211602795274,-0.6855472711500663,172344.77349943374,174460.82155688622,11.736069016284437
41,191876.81635220125,0.6882570483311083,0,-0.5878644612173082,6,-0.17021174646130374,-0.9629794958457264,151492.33974358975,148888.11258278147,-0.009994361115886408,2,149126.90293453724,2,0,1,0.42888667772680494,0.07392225240135407,4,1,186204.07212055975,0.3984019106134453,-0.7978280928003665,-0.361530776805335,2,2,6,1,194638.7776096823,-0.5277342135469646,1,2,-0.12073331897508374,2,-0.7494211602795274,1.4342204420377076,172344.77349943374,146863.4935064935,11.982929094215963
429,191876.81635220125,-0.2372066756270425,0,0.2639995720292841,7,1.2013236402676,1.0660275667736452,214791.4425770308,214491.08238636365,0.028864149440119644,3,226904.63863636364,3,0,5,0.4733397575385214,0.33677597911930285,4,1,186204.07212055975,0.1077439129331959,-0.7978280928003665,-0.5768404860522873,2,3,6,0,194638.7776096823,1.1937084023273363,1,2,0.7635091516583198,2,0.06278289677845456,0.14392705140167134,275185.89285714284,271364.8620689655,12.182804018590819
279,191876.81635220125,1.752540330882982,0,2.5155883637195844,9,1.1686680358216737,1.0660275667736452,214994.68292682926,211104.43902439025,1.1779658187391557,4,226904.63863636364,4,3,0,-0.9322242898414651,2.336654749898363,4,1,186204.07212055975,2.3954228084682625,-0.7978280928003665,1.1177954151758804,2,4,8,1,194638.7776096823,1.1937084023273363,2,3,1.2526645609448834,2,0.20975315472227987,0.8197950179253094,275185.89285714284,271364.8620689655,12.936751613811438
976,209801.8536585366,-0.05211393083541234,0,0.7237256393837395,7,0.9727344091461161,0.7278597230037499,148596.88815789475,149385.11643835617,-0.5706671562811166,3,226904.63863636364,3,0,5,0.42465305107807005,-0.8351135524982188,4,1,186204.07212055975,-1.2327908177472648,0.8316684624443942,-0.2538759221818589,2,3,6,0,132287.65,0.9068012996816196,0,2,0.11443755087422569,2,0.4340761800049606,0.0824845089904315,172344.77349943374,174460.82155688622,12.013700752882718
337,191876.81635220125,0.7808034207269234,1,2.0165714680467257,9,1.1360124313757476,1.0177178748065174,214791.4425770308,214491.08238636365,0.5395760024619135,3,226904.63863636364,4,3,5,1.7116755522934795,1.9007556530910983,4,1,186204.07212055975,1.896794002103007,-0.7978280928003665,0.7484278967263674,2,3,8,1,194638.7776096823,1.11173494442856,2,3,0.9892731867136568,2,0.6274580983520992,0.09784514459324145,172344.77349943374,174460.82155688622,12.841129801965447
96,191876.81635220125,-0.05211393083541234,2,0.1607834322724602,6,0.7441451780246321,0.3896918792338547,214791.4425770308,214491.08238636365,-0.19318448230848637,4,226904.63863636364,3,0,4,-0.27601215928755574,-0.8197804184396719,3,1,186204.07212055975,-1.215251110990698,1.0178309743976037,-0.09053752206348126,2,2,6,1,259745.57142857142,0.6198941970359028,2,2,-0.2148016669148075,2,1.0451630419819187,0.28217277182696093,172344.77349943374,174460.82155688622,12.128111104060462
683,191876.81635220125,-0.05211393083541234,0,0.31380645250045575,6,0.842111991362411,0.5829306471023663,151492.33974358975,148888.11258278147,-0.5706671562811166,2,226904.63863636364,3,1,5,1.1909394744990869,0.5185831400992175,4,1,186204.07212055975,0.31571472161820197,-0.7978280928003665,-0.42278267684972665,1,3,6,1,194638.7776096823,0.7428543838840671,0,2,-0.16306407554795943,2,1.6253087970233342,-0.6855472711500663,172344.77349943374,174460.82155688622,12.061046873479915
